City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,Antofagasta,-23.65,-70.4,63.68,78,9,6.22,CL,2021-12-14 02:07:50
285,San Patricio,28.017,-97.5169,68.09,92,96,4.94,US,2021-12-14 02:05:36
286,Pregradnoye,45.8218,41.7469,40.87,78,100,18.19,RU,2021-12-14 02:07:50
287,Bida,9.0833,6.0167,76.84,26,100,3.62,NG,2021-12-14 02:07:50
288,Devonport,-41.1667,146.35,68.09,75,0,8.37,AU,2021-12-14 02:07:51
289,Vikesa,58.6376,6.0913,45.0,95,97,1.36,NO,2021-12-14 02:07:51
290,Kyaikkami,16.08,97.5675,74.7,67,18,8.28,MM,2021-12-14 02:07:51
291,Morro Bay,35.3658,-120.8499,56.28,94,100,7.0,US,2021-12-14 02:07:52
292,Pacific Grove,36.6177,-121.9166,55.65,92,100,7.0,US,2021-12-14 02:03:05
293,Mansa,29.9833,75.3833,49.55,56,0,4.5,IN,2021-12-14 02:07:52
294,Port Elizabeth,-33.918,25.5701,65.1,89,58,9.55,ZA,2021-12-14 02:06:33
295,Kamenka,51.3223,42.7678,21.74,58,100,12.06,RU,2021-12-14 02:07:53
296,Hambantota,6.1241,81.1185,75.54,100,40,14.97,LK,2021-12-14 02:07:53
297,Lompoc,34.6391,-120.4579,54.01,83,1,24.0,US,2021-12-14 02:07:53
298,Half Moon Bay,37.4636,-122.4286,55.62,91,90,5.99,US,2021-12-14 02:04:08
299,Cortez,37.3489,-108.5859,39.7,81,1,0.0,US,2021-12-14 02:04:20
300,Mantua,45.1667,10.7833,42.44,79,0,1.48,IT,2021-12-14 02:07:54
301,Luanda,-8.8368,13.2343,76.84,82,100,5.12,AO,2021-12-14 02:07:54
302,Veraval,20.9,70.3667,69.49,41,0,9.66,IN,2021-12-14 02:07:54
303,Shimoda,34.6667,138.95,52.57,79,99,7.78,JP,2021-12-14 02:07:55
304,Wasilla,61.5814,-149.4394,3.74,61,1,14.97,US,2021-12-14 02:07:55
305,Sitka,57.0531,-135.33,28.29,69,1,0.0,US,2021-12-14 02:07:55
306,Vryburg,-26.9566,24.7284,63.5,83,96,10.47,ZA,2021-12-14 02:07:56
307,Zhigansk,66.7697,123.3711,-33.61,98,44,9.42,RU,2021-12-14 02:03:05
308,Muyezerskiy,63.9333,31.65,29.26,95,100,9.48,RU,2021-12-14 02:07:56
309,Havelock,34.8791,-76.9013,52.93,89,0,1.77,US,2021-12-14 02:07:56
310,Guatire,10.4762,-66.5427,77.5,96,74,1.43,VE,2021-12-14 02:07:57
311,Iisalmi,63.5592,27.1907,32.02,98,100,7.05,FI,2021-12-14 02:07:57
312,Progreso,21.2833,-89.6667,79.11,77,32,14.54,MX,2021-12-14 02:07:57
313,Kavieng,-2.5744,150.7967,85.39,73,12,8.16,PG,2021-12-14 02:07:58
314,Greeneville,36.1632,-82.831,45.21,75,1,0.0,US,2021-12-14 02:04:41
315,Ulladulla,-35.35,150.4667,83.77,60,79,6.78,AU,2021-12-14 02:07:58
316,Podor,16.6527,-14.9587,78.53,10,100,8.66,MR,2021-12-14 02:07:58
