City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
454,Lantana,US,73.42,scattered clouds,26.5867,-80.052,Four Seasons Resort Palm Beach
456,Carinhanha,BR,69.39,light rain,-14.3047,-43.765,Hotel União
462,Dunedin,NZ,59.81,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
467,Port Blair,IN,75.06,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
468,Bhuj,IN,67.1,clear sky,23.2667,69.6667,Regenta Resort Bhuj
469,Kupang,ID,77.58,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
472,Tezu,IN,53.92,overcast clouds,27.9167,96.1667,Circuit House
474,Xuddur,SO,71.15,overcast clouds,4.1213,43.8894,Banjanay Hotel
476,Lantawan,PH,76.68,overcast clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
479,Pimentel,PE,68.14,scattered clouds,-6.8367,-79.9342,Casona Del Muelle
481,Luau,AO,63.95,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
485,Fernan-Nunez,ES,55.29,overcast clouds,37.6884,-4.7247,Villa Flamenca
487,Mangrol,IN,68.59,clear sky,21.1167,70.1167,Hotel The Royal Honours
493,Ballina,AU,77.04,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
497,Margate,GB,49.87,moderate rain,51.3813,1.3862,Premier Inn Margate hotel
502,Hokitika,NZ,65.66,broken clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
503,Misratah,LY,59.36,clear sky,32.3754,15.0925,Almasa Hotel
504,Naron,ES,55.9,overcast clouds,43.5167,-8.1528,Marcial
506,Campamento,HN,66.74,scattered clouds,14.55,-86.65,Hotel La posada de Sandra
507,Sinnamary,GF,77.54,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
508,Graaff-Reinet,ZA,57.92,scattered clouds,-32.2522,24.5308,Rietjiesbos B&B
511,Dolores,AR,71.89,light rain,-36.3132,-57.6792,Apart Hotel - Arianos
515,Progreso,MX,77.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
516,Saldanha,ZA,68.05,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
517,Uberlandia,BR,66.58,few clouds,-18.9186,-48.2772,Hotel Apollo
518,Las Vegas,US,61.48,clear sky,36.175,-115.1372,Plaza Hotel & Casino
522,Bouafle,CI,69.82,broken clouds,6.9904,-5.7442,Hotel Zaouli
523,Korhogo,CI,72.28,clear sky,9.45,-5.6333,Hôtel Tchinbota
525,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
528,Guarapari,BR,73.29,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
530,Iracoubo,GF,77.54,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
532,Ormara,PK,74.03,few clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
533,Viedma,AR,62.82,clear sky,-40.8135,-62.9967,Hotel Cristal
534,Wamba,NG,73.22,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
536,Beihai,CN,68.88,overcast clouds,21.4833,109.1,21 Degree Hostel
537,Mission Bend,US,74.61,few clouds,29.6938,-95.6649,"Scottish Inns & Suites Hwy 6, Houston, TX"
538,Trincomalee,LK,77.68,clear sky,8.5711,81.2335,Welcombe Hotel
544,Paidha,UG,63.86,broken clouds,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
547,Valdivia,CL,69.06,clear sky,-39.8142,-73.2459,Hostal Entre Rios
548,Thabazimbi,ZA,66.2,few clouds,-24.5917,27.4116,Eagle's Rest
549,Badin,PK,66.0,few clouds,24.656,68.8384,Shedi hotel
553,Ancud,CL,64.42,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
554,Morehead,US,64.15,clear sky,37.2711,-87.1764,CCI Express Inn
556,Le Pradet,FR,56.89,overcast clouds,43.1066,6.0172,Hôtel Kyriad Toulon La Garde
563,Hagere Hiywet,ET,60.24,overcast clouds,8.9833,37.85,Hot Springs Resort
565,Pacific Grove,US,55.29,broken clouds,36.6177,-121.9166,Lovers Point Inn
569,Gat,IL,50.4,broken clouds,31.61,34.7642,OlusHome
570,Ilhabela,BR,70.97,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
576,Gloucester,GB,49.5,overcast clouds,51.8657,-2.2431,Edward Hotel
578,Kirkwood,US,70.9,broken clouds,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
582,Porto Torres,IT,57.38,overcast clouds,40.835,8.3972,Hotel Elisa
583,Cap Malheureux,MU,76.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
591,Kilembe,UG,61.27,overcast clouds,0.2,30.0,Mbunga Community Campsite
592,Manono,CD,68.5,overcast clouds,-7.3,27.4167,Hotel hewa bora
594,Woodward,US,76.23,broken clouds,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
597,Puerto Baquerizo Moreno,EC,71.01,broken clouds,-0.9,-89.6,Hotel los Algarrobos
599,Lumphat,KH,70.03,broken clouds,13.4878,106.9816,Lumphat Homestay
601,Berja,ES,53.76,broken clouds,36.8469,-2.9497,Hotel Don Miguel Plaza de Berja
602,Russell,US,60.51,clear sky,32.3502,-85.1999,Macs
608,Zambezi,ZM,65.19,moderate rain,-13.5432,23.1047,Royal Kutachika Lodge
611,Weligama,LK,73.51,broken clouds,5.9667,80.4167,Weligama Bay Resort
613,Maputo,MZ,72.23,broken clouds,-25.9653,32.5892,Pestana Rovuma
620,Waipawa,NZ,61.93,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
622,Umarkot,PK,62.64,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
623,Santa Maria,BR,70.38,clear sky,-29.6842,-53.8069,Hotel Morotin
624,San Felipe,VE,71.71,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
628,Dicabisagan,PH,76.53,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
632,Ponta Delgada,PT,63.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
633,Mancheral,IN,62.8,clear sky,18.8667,79.4333,Hotel Vaibhav
634,Nichinan,JP,51.48,broken clouds,31.6,131.3667,Guest House Aki
635,Road Town,VG,77.09,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
637,Brasilia De Minas,BR,65.01,moderate rain,-16.2064,-44.4333,Hotel Neris
639,Arrifes,PT,61.23,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
640,Pittsburg,US,55.26,overcast clouds,38.028,-121.8847,Hampton Inn & Suites Pittsburg
650,Tonj,SS,75.24,broken clouds,7.2737,28.6822,Lakan Hotel
654,Ha Giang,VN,63.01,broken clouds,22.8333,104.9833,Truong Xuan Resort
655,Ejea De Los Caballeros,ES,49.86,overcast clouds,42.1263,-1.1372,Hotel Ciudad De Ejea
656,Canutama,BR,76.66,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
657,Nanlong,CN,49.28,overcast clouds,31.3533,106.0631,Demei Hotel
658,Atambua,ID,74.7,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
661,Luena,AO,59.18,overcast clouds,-11.7833,19.9167,Hotel Kandamba
662,Nador,MA,53.85,clear sky,35.174,-2.9287,Hôtel La Giralda
663,Itoman,JP,66.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
666,Naze,JP,59.92,overcast clouds,28.3667,129.4833,Shishime Hotel
669,Christchurch,NZ,65.32,broken clouds,-43.5333,172.6333,The George
671,Aljezur,PT,59.41,light rain,37.3191,-8.8033,Amazigh Hostel
673,Verin,ES,50.56,overcast clouds,41.9415,-7.4381,Parador de Verín
674,Brookhaven,US,69.46,clear sky,31.5791,-90.4407,Americas Best Value Inn Brookhaven
679,Riyadh,SA,62.74,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
